,sentence,is_realword,mix_word,mix_levenshtein_score,mix_bert_score,type,correct_word,candidate_word
0,اگر شیر یا آب بیشتر از اندازه گرم شده باشد باعث کشته شدن مواد زنده‌س خمیرترش شده و خمیر ور نمی‌آید,False,زنده,2,7.795431156409904e-05,keyboard_nonrealword_error,زنده‌ی,زنده‌س
1,است اگر در هر لحظه از قانون حرکت زری پیروی کند,True,زیر,2,0.000829801254440099,substitution_realword_error,زیر,زری
2,البطه دستورهای زیادی برای کاچی است این یکی از قدیمی‌ترین روش می‌باشد,False,البته,1,0.0168769471347332,polymorph_nonrealword_error,البته,البطه
3,بسته به ذائقه خود از چاشنی‌های مرسوم مثل هل و گلای به آن اضافه کنید,True,گلاب,1,0.0020547735039144754,keyboard_realword_error,گلاب,گلای
4,بهتر است جو را بعد از شستن یکی دو ساعت خسی کنیم تا زودتر بپزد بعد جو را با آب گوشت می‌گذاریم بپزد و کاملاً لعاب بیندازد,True,خیس,2,0.19606585800647736,substitution_realword_error,خیس,خسی
5,جعفری خدر شده مقداری هم برای داخل سوپ هم برای تزیین,True,خرد,2,0.48677539825439453,substitution_realword_error,خرد,خدر
6,بهتر است جو را بدع از شستن یکی دو ساعت خیس کنیم تا زودتر بپزد,True,بعد,2,0.5286806225776672,substitution_realword_error,بعد,بدع
7,هویج را نگینی خرد کنید و اواسط پخط به سوپ اضافه کنید,False,پخت,1,0.13014939427375793,polymorph_nonrealword_error,پخت,پخط
8,میرزاقاسمی یکی از غذاهای محلی استان گیالن و استان مازندران است,False,گیلان,2,0.6888694167137146,substitution_nonrealword_error,گیلان,گیالن
9,رب گوجه‌فرنگی را جداگانه تفت می‌دهیم و به خوشر اضافه می‌کنیم,False,خورش,2,0.0034833948593586683,substitution_nonrealword_error,خورش,خوشر
10,در طول این تدت درب ماهی تابه را گذاشته تا مواد کاملاً مغز پخت گردد و بهتر است زیاد سرخ نشود,False,مدت,1,0.5482826828956604,keyboard_nonrealword_error,مدت,تدت
11,بسته به‌اندازه کاسه چدن باز این کار را تکرار کنید,True,چند,2,0.00016040305490605533,substitution_realword_error,چند,چدن
12,با یک کارد یا ذیخ چوبی از کناره‌ها خط‌هایی به مرکز بکشید,False,میخ,1,0.016665438190102577,keyboard_nonrealword_error,سیخ,ذیخ
13,وسط آش را با پیاز داق و اطرافش را با پودر گل محمدی تزیین کنید,False,داغ,1,0.028317365795373917,polymorph_nonrealword_error,داغ,داق
14,پیاز داغ را با مقداری روغن روی حرارت قرار دهید و ادویح‌ها را به‌همراه رب گوجه‌فرنگی کمی تفت دهید,False,ادویهها,2,8.454849739791825e-05,polymorph_nonrealword_error,ادویه‌ها,ادویح‌ها
15,لیطر آب روی آن بریزید و روی حرارت ملایم قرار دهید تا حبوبات پخته شود,False,لیتر,1,0.00025300736888311803,polymorph_nonrealword_error,لیتر,لیطر
16,آش انار یکی از چنیدن غذای محلی و سنتی شیرازی‌ها است,True,چندین,2,0.05732955411076546,substitution_realword_error,چندین,چنیدن
17,برنج و کوفته ریزه و نعنا خشک و پیاز ادغ را به چغندر در حال پختن اضافه می‌کنند,False,داغ,2,0.6022666692733765,substitution_nonrealword_error,داغ,ادغ
18,وقتی‌که آش به‌اندازه دلخواه ثفت شد آن را در ظرف ریخته روی آن را با نعنا و پیاز داغ تزیین می‌کنند,False,سفت,1,0.009983102791011333,polymorph_nonrealword_error,سفت,ثفت
19,ساعت با هم خیس بخورند و بعد نخود را تو آبکش ریخته و خوب بشورید و بعد ذبارید تا بپزد,False,بذارید,2,0.00026378894108347595,substitution_nonrealword_error,بذارید,ذبارید
20,برنج را نیز از شب قبل با آب و مقداری نوک خیس کنید,True,نمک,1,0.18957474827766418,keyboard_realword_error,نمک,نوک
21,دقه کنید که آب آش زیاد نباشد و جا برای اضافه کردن دوغ داشته باشید,True,دقت,1,0.8311840891838074,keyboard_realword_error,دقت,دقه
22,این آش بیشتر در آذربایجان عربی پخته می‌شود و جزو غذاهای اصیل و محلی این منطقه می‌باشد,True,غربی,1,0.492122620344162,keyboard_realword_error,غربی,عربی
23,بحتر است به‌جای برنج از جو استفاده کنید چون آش شما لعاب دار می‌شود,False,بهتر,1,0.9602338671684265,polymorph_nonrealword_error,بهتر,بحتر
24,پیاز را با روغن کمی تفت بدنی تا سبک شه و بعد گوشت چرخ شده رو اضافه کرد و خوب تفت بدین,True,بدین,2,0.014231325127184391,substitution_realword_error,بدین,بدنی
25,عدد پیاز با آب خیلی کم می‌گذاریم بپزد بعد انها را تکه‌تکه کرده ونار می‌گذاریم,False,کنار,1,0.005183276254683733,keyboard_nonrealword_error,کنار,ونار
26,برای مطبوع تر شدن این قضا می‌توانید از جعفری خرد شده هم استفاده کنید و آن را داخل مایه گوشتی بریزید,True,غذا,2,0.4430995285511017,homophone_realword_error,غذا,قضا
27,بهتر است صبزی خورش قورمه سبزی خیلی ریز خرد شود چون به‌این‌ترتیب خورش بهتر جا می‌افتد,False,سبزی,1,0.0001340443268418312,polymorph_nonrealword_error,سبزی,صبزی
28,شبنلیله خورش قورمه سبزی نباید زیاد باشد چون خورش تلخ می‌شود,False,شنبلیله,2,2.2259625893639168e-06,substitution_nonrealword_error,شنبلیله,شبنلیله
29,اگر سبزی قورمه سزبی درشت خرد شده باشد خورش هر چه بجوشد جا نمی‌افتد,False,سبزی,2,0.022082142531871796,substitution_nonrealword_error,سبزی,سزبی
