,sentence,is_realword,mix_word,mix_levenshtein_score,mix_bert_score,type,correct_word,candidate_word
0,اگر شیر یا آب بیشتر از اندازه گرم شده باشد باعث کشته شدن مواد زنده‌س خمیرترش شده و خمیر ور نمی‌آید,False,زنده,2,0.0001705446484265849,keyboard_nonrealword_error,زنده‌ی,زنده‌س
1,است اگر در هر لحظه از قانون حرکت زری پیروی کند,True,زیر,2,0.0008740339544601738,substitution_realword_error,زیر,زری
2,البطه دستورهای زیادی برای کاچی است این یکی از قدیمی‌ترین روش می‌باشد,False,البته,1,0.0050128442235291,polymorph_nonrealword_error,البته,البطه
3,بسته به ذائقه خود از چاشنی‌های مرسوم مثل هل و گلای به آن اضافه کنید,True,گلاب,1,0.005118523724377155,keyboard_realword_error,گلاب,گلای
4,بهتر است جو را بعد از شستن یکی دو ساعت خسی کنیم تا زودتر بپزد بعد جو را با آب گوشت می‌گذاریم بپزد و کاملاً لعاب بیندازد,True,خیس,2,0.13152901828289032,substitution_realword_error,خیس,خسی
5,جعفری خدر شده مقداری هم برای داخل سوپ هم برای تزیین,True,خرد,2,0.1419563740491867,substitution_realword_error,خرد,خدر
6,بهتر است جو را بدع از شستن یکی دو ساعت خیس کنیم تا زودتر بپزد,True,بعد,2,0.8994116187095642,substitution_realword_error,بعد,بدع
7,هویج را نگینی خرد کنید و اواسط پخط به سوپ اضافه کنید,False,پخت,1,4.889310002909042e-05,polymorph_nonrealword_error,پخت,پخط
8,میرزاقاسمی یکی از غذاهای محلی استان گیالن و استان مازندران است,False,گیلان,2,0.0678648054599762,substitution_nonrealword_error,گیلان,گیالن
9,رب گوجه‌فرنگی را جداگانه تفت می‌دهیم و به خوشر اضافه می‌کنیم,False,خورش,2,0.02532154507935047,substitution_nonrealword_error,خورش,خوشر
10,در طول این تدت درب ماهی تابه را گذاشته تا مواد کاملاً مغز پخت گردد و بهتر است زیاد سرخ نشود,False,مدت,1,0.6059126853942871,keyboard_nonrealword_error,مدت,تدت
11,بسته به‌اندازه کاسه چدن باز این کار را تکرار کنید,True,چند,2,0.0006748244632035494,substitution_realword_error,چند,چدن
12,با یک کارد یا ذیخ چوبی از کناره‌ها خط‌هایی به مرکز بکشید,False,میخ,1,0.006136131007224321,keyboard_nonrealword_error,سیخ,ذیخ
13,وسط آش را با پیاز داق و اطرافش را با پودر گل محمدی تزیین کنید,False,داغ,1,0.007004874758422375,polymorph_nonrealword_error,داغ,داق
14,پیاز داغ را با مقداری روغن روی حرارت قرار دهید و ادویح‌ها را به‌همراه رب گوجه‌فرنگی کمی تفت دهید,False,ادویه,3,0.00091249227989465,polymorph_nonrealword_error,ادویه‌ها,ادویح‌ها
15,لیطر آب روی آن بریزید و روی حرارت ملایم قرار دهید تا حبوبات پخته شود,False,لیتر,1,0.0030960403382778168,polymorph_nonrealword_error,لیتر,لیطر
16,آش انار یکی از چنیدن غذای محلی و سنتی شیرازی‌ها است,True,چندین,2,0.008948318660259247,substitution_realword_error,چندین,چنیدن
17,برنج و کوفته ریزه و نعنا خشک و پیاز ادغ را به چغندر در حال پختن اضافه می‌کنند,False,داغ,2,0.025276973843574524,substitution_nonrealword_error,داغ,ادغ
18,وقتی‌که آش به‌اندازه دلخواه ثفت شد آن را در ظرف ریخته روی آن را با نعنا و پیاز داغ تزیین می‌کنند,False,سفت,1,0.00837063230574131,polymorph_nonrealword_error,سفت,ثفت
19,ساعت با هم خیس بخورند و بعد نخود را تو آبکش ریخته و خوب بشورید و بعد ذبارید تا بپزد,False,بذارید,2,0.0005232049152255058,substitution_nonrealword_error,بذارید,ذبارید
20,برنج را نیز از شب قبل با آب و مقداری نوک خیس کنید,True,نمک,1,0.1757095754146576,keyboard_realword_error,نمک,نوک
