,sentence,is_realword,mix_word,mix_levenshtein_score,mix_bert_score,type,correct_word,candidate_word
0,اگر شیر یا آب بیشتر از اندازه گرم شده باشد باعث کشته شدن مواد زنده‌س خمیرترش شده و خمیر ور نمی‌آید,False,زنده,2,0.00015593307034578174,keyboard_nonrealword_error,زنده‌ی,زنده‌س
1,است اگر در هر لحظه از قانون حرکت زری پیروی کند,True,زیر,2,0.002565505914390087,substitution_realword_error,زیر,زری
2,البطه دستورهای زیادی برای کاچی است این یکی از قدیمی‌ترین روش می‌باشد,False,البته,1,0.0021022153086960316,polymorph_nonrealword_error,البته,البطه
3,بسته به ذائقه خود از چاشنی‌های مرسوم مثل هل و گلای به آن اضافه کنید,True,گلاب,1,0.0031365135218948126,keyboard_realword_error,گلاب,گلای
4,بهتر است جو را بعد از شستن یکی دو ساعت خسی کنیم تا زودتر بپزد بعد جو را با آب گوشت می‌گذاریم بپزد و کاملاً لعاب بیندازد,True,خیس,2,0.25696927309036255,substitution_realword_error,خیس,خسی
5,جعفری خدر شده مقداری هم برای داخل سوپ هم برای تزیین,True,خرد,2,0.22412987053394318,substitution_realword_error,خرد,خدر
6,بهتر است جو را بدع از شستن یکی دو ساعت خیس کنیم تا زودتر بپزد,True,بعد,2,0.9476175308227539,substitution_realword_error,بعد,بدع
7,هویج را نگینی خرد کنید و اواسط پخط به سوپ اضافه کنید,False,پخت,1,0.02615450508892536,polymorph_nonrealword_error,پخت,پخط
8,میرزاقاسمی یکی از غذاهای محلی استان گیالن و استان مازندران است,False,گیلان,2,0.4442654550075531,substitution_nonrealword_error,گیلان,گیالن
9,رب گوجه‌فرنگی را جداگانه تفت می‌دهیم و به خوشر اضافه می‌کنیم,False,خورش,2,0.002685452811419964,substitution_nonrealword_error,خورش,خوشر
10,در طول این تدت درب ماهی تابه را گذاشته تا مواد کاملاً مغز پخت گردد و بهتر است زیاد سرخ نشود,False,مدت,1,0.6429502964019775,keyboard_nonrealword_error,مدت,تدت
11,بسته به‌اندازه کاسه چدن باز این کار را تکرار کنید,True,چدن,0,1.0,substitution_realword_error,چند,چدن
12,با یک کارد یا ذیخ چوبی از کناره‌ها خط‌هایی به مرکز بکشید,False,میخ,1,0.004467780701816082,keyboard_nonrealword_error,سیخ,ذیخ
13,وسط آش را با پیاز داق و اطرافش را با پودر گل محمدی تزیین کنید,False,داغ,1,0.01770823448896408,polymorph_nonrealword_error,داغ,داق
14,پیاز داغ را با مقداری روغن روی حرارت قرار دهید و ادویح‌ها را به‌همراه رب گوجه‌فرنگی کمی تفت دهید,False,ادویهها,2,4.763800461660139e-05,polymorph_nonrealword_error,ادویه‌ها,ادویح‌ها
15,لیطر آب روی آن بریزید و روی حرارت ملایم قرار دهید تا حبوبات پخته شود,False,لیتر,1,0.04590488597750664,polymorph_nonrealword_error,لیتر,لیطر
16,آش انار یکی از چنیدن غذای محلی و سنتی شیرازی‌ها است,True,چندین,2,0.02159722149372101,substitution_realword_error,چندین,چنیدن
17,برنج و کوفته ریزه و نعنا خشک و پیاز ادغ را به چغندر در حال پختن اضافه می‌کنند,False,داغ,2,0.2724510133266449,substitution_nonrealword_error,داغ,ادغ
18,وقتی‌که آش به‌اندازه دلخواه ثفت شد آن را در ظرف ریخته روی آن را با نعنا و پیاز داغ تزیین می‌کنند,False,سفت,1,0.02669009007513523,polymorph_nonrealword_error,سفت,ثفت
19,ساعت با هم خیس بخورند و بعد نخود را تو آبکش ریخته و خوب بشورید و بعد ذبارید تا بپزد,False,بذارید,2,0.00045202297042123973,substitution_nonrealword_error,بذارید,ذبارید
20,برنج را نیز از شب قبل با آب و مقداری نوک خیس کنید,True,نمک,1,0.17707453668117523,keyboard_realword_error,نمک,نوک
21,دقه کنید که آب آش زیاد نباشد و جا برای اضافه کردن دوغ داشته باشید,True,دقت,1,0.32598042488098145,keyboard_realword_error,دقت,دقه
22,این آش بیشتر در آذربایجان عربی پخته می‌شود و جزو غذاهای اصیل و محلی این منطقه می‌باشد,True,غربی,1,0.5643740892410278,keyboard_realword_error,غربی,عربی
23,بحتر است به‌جای برنج از جو استفاده کنید چون آش شما لعاب دار می‌شود,False,بهتر,1,0.9526452422142029,polymorph_nonrealword_error,بهتر,بحتر
24,پیاز را با روغن کمی تفت بدنی تا سبک شه و بعد گوشت چرخ شده رو اضافه کرد و خوب تفت بدین,True,بدین,2,0.08091263473033905,substitution_realword_error,بدین,بدنی
25,عدد پیاز با آب خیلی کم می‌گذاریم بپزد بعد انها را تکه‌تکه کرده ونار می‌گذاریم,False,کنار,1,0.05859953910112381,keyboard_nonrealword_error,کنار,ونار
26,برای مطبوع تر شدن این قضا می‌توانید از جعفری خرد شده هم استفاده کنید و آن را داخل مایه گوشتی بریزید,True,غذا,2,0.6140469312667847,homophone_realword_error,غذا,قضا
27,بهتر است صبزی خورش قورمه سبزی خیلی ریز خرد شود چون به‌این‌ترتیب خورش بهتر جا می‌افتد,False,سبزی,1,0.0006636777543462813,polymorph_nonrealword_error,سبزی,صبزی
28,شبنلیله خورش قورمه سبزی نباید زیاد باشد چون خورش تلخ می‌شود,False,شنبلیله,2,2.4024284357437864e-06,substitution_nonrealword_error,شنبلیله,شبنلیله
29,اگر سبزی قورمه سزبی درشت خرد شده باشد خورش هر چه بجوشد جا نمی‌افتد,False,سبزی,2,0.006641376297920942,substitution_nonrealword_error,سبزی,سزبی
30,نکته دیگر آنکه اگر سبزی موقع خرد کردن آب انداخت آب آن را دور نریخته و به خروش اضافه کنید,True,خورش,2,0.0010969176655635238,substitution_realword_error,خورش,خروش
31,پیازها را چهار کته کرده با آب و نمک می‌پزیم,True,تکه,2,0.26469045877456665,substitution_realword_error,تکه,کته
32,پیاز را داخل حمزن ریخته یا از الک گذرانده تا صاف شود,False,همزن,1,0.0032290525268763304,polymorph_nonrealword_error,همزن,حمزن
33,در صورت تمایل سوپ را با نان تست شته تزیین می‌کنیم,True,شده,1,0.014456451870501041,keyboard_realword_error,شده,شته
34,فلفل سبز و گشنیز را به آن افزوده و به‌هم می‌زنیم تا مخژوط شود,False,مخلوط,1,0.01051160879433155,keyboard_nonrealword_error,مخلوط,مخژوط
35,از یک چاقوی تیز استفاده کرده و ماهی را به هشت بسمت تقسیم کنید,True,قسمت,1,0.4711384177207947,keyboard_realword_error,قسمت,بسمت
36,پس از پختن ماهی را در ظرف بکشید و آن را با حلقه‌های لیمو و فلفل سبز تزیین کندی و با برنج پخته صرف کنید,True,کنید,2,0.5473902821540833,substitution_nonrealword_error,کنید,کندی
37,ماهی معمولاً با سبذی پلو در روز اول عید در ایران صرف می‌شود,False,سبزی,1,0.017136769369244576,polymorph_nonrealword_error,سبزی,سبذی
38,ساعت در یخچال قرار می‌دیم که بوی یمگو به‌خوبی گرفته بشه و مزه خوبی رو به خودش بگیره,False,میگو,2,0.00030038351542316377,substitution_nonrealword_error,میگو,یمگو
39,تخم‌مرغ و آرد سوخایر را نیز هرکدوم جدا تو کاسه‌ای بریزید,False,سوخاری,2,0.007995388470590115,substitution_nonrealword_error,سوخاری,سوخایر
40,دقیقه تا پنیر آن آب شود سپس فر را خاموش و ظرف را پس‌از ده دقیقه از فر خارج و با همان ظرف قضا را سرو می‌نماییم,True,غذا,2,0.48198047280311584,homophone_realword_error,غذا,قضا
41,کشکی که برای تزیین روی شکک بادمجان استفاده می‌شود بهتر است با آب جوش کمی رقیق شود,True,کشک,2,0.010233129374682903,substitution_realword_error,کشک,شکک
42,قاشق غذاخوری آب مرغ را وقتی هنوز سیب‌زمینی گرم است با آن مخلوط کنید تا طعم این مواد به خـرد سیب‌زمینی برود,True,خورد,1,0.12167971581220627,homophone_realword_error,خورد,خـرد
43,برای تهیه سالاد الویه روسی ابتدا سیب‌زمینی و هویج را پخته و سپس به قطعات کوچک مکعبی خرد می‌کنمی,True,می‌کنمی,0,1.0,substitution_nonrealword_error,می‌کنیم,می‌کنمی
