,sentence,is_realword,mix_word,mix_levenshtein_score,mix_bert_score,type,correct_word,candidate_word
0,اگر شیر یا آب بیشتر از اندازه گرم شده باشد باعث کشته شدن مواد زنده‌س خمیرترش شده و خمیر ور نمی‌آید,False,زنده,2,0.000126956234453246,keyboard_nonrealword_error,زنده‌ی,زنده‌س
1,است اگر در هر لحظه از قانون حرکت زری پیروی کند,True,زری,0,1.0,substitution_realword_error,زیر,زری
2,البطه دستورهای زیادی برای کاچی است این یکی از قدیمی‌ترین روش می‌باشد,False,البته,1,0.004263570066541433,polymorph_nonrealword_error,البته,البطه
3,بسته به ذائقه خود از چاشنی‌های مرسوم مثل هل و گلای به آن اضافه کنید,True,گلاب,1,0.002504764823243022,keyboard_realword_error,گلاب,گلای
4,بهتر است جو را بعد از شستن یکی دو ساعت خسی کنیم تا زودتر بپزد بعد جو را با آب گوشت می‌گذاریم بپزد و کاملاً لعاب بیندازد,True,خیس,2,0.1990547776222229,substitution_realword_error,خیس,خسی
5,جعفری خدر شده مقداری هم برای داخل سوپ هم برای تزیین,True,خرد,2,0.08322320878505707,substitution_realword_error,خرد,خدر
6,بهتر است جو را بدع از شستن یکی دو ساعت خیس کنیم تا زودتر بپزد,True,بعد,2,0.48498907685279846,substitution_realword_error,بعد,بدع
7,هویج را نگینی خرد کنید و اواسط پخط به سوپ اضافه کنید,False,پخت,1,0.00021932661184109747,polymorph_nonrealword_error,پخت,پخط
8,میرزاقاسمی یکی از غذاهای محلی استان گیالن و استان مازندران است,False,گیلان,2,0.054535169154405594,substitution_nonrealword_error,گیلان,گیالن
9,رب گوجه‌فرنگی را جداگانه تفت می‌دهیم و به خوشر اضافه می‌کنیم,False,خورش,2,0.02302796207368374,substitution_nonrealword_error,خورش,خوشر
10,در طول این تدت درب ماهی تابه را گذاشته تا مواد کاملاً مغز پخت گردد و بهتر است زیاد سرخ نشود,False,مدت,1,0.40110334753990173,keyboard_nonrealword_error,مدت,تدت
11,بسته به‌اندازه کاسه چدن باز این کار را تکرار کنید,True,چدن,0,1.0,substitution_realword_error,چند,چدن
12,با یک کارد یا ذیخ چوبی از کناره‌ها خط‌هایی به مرکز بکشید,False,میخ,1,0.007258806377649307,keyboard_nonrealword_error,سیخ,ذیخ
